Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
AMR,2022-03-07,2022-03,0.3126986314347972,0.3955076045245414,0.054853171085772354,1.5577101815341003,1.5908485117725455,0.0919421309654026,5.67979456995297,0.0,0.5493827160493827,9.0,1,0,0,0,0,0,0,0,0,0,0,0
MUX,2022-03-07,2022-03,0.009287301010200994,-0.1302855040771699,-0.15696502857884628,-0.1868389705086092,-0.273109243697479,0.010724462777510227,-9.254032258064516,0.122547413814178,-0.22543352601156075,4.0,1,0,0,0,0,0,0,0,0,0,0,0
CURO,2022-03-07,2022-03,0.23253512563622797,0.0404824409590513,0.9280833247192154,-0.4672479023030136,-0.2990430622009569,-0.15324336055167123,0.875963178334395,-0.021314473215860774,-0.7866894197952219,0.0,0,0,0,0,0,1,0,0,0,0,0,0
CLAR,2022-03-07,2022-03,0.1390792099736162,-0.005444585803037321,-0.021864363149513295,-0.8899232359408535,-0.2643596146985373,0.06892867826161275,-163.88235294117646,0.2458945292994188,-0.5504364694471388,2.0,0,0,1,0,0,0,0,0,0,0,0,0
HPK,2022-03-07,2022-03,0.23819356256715835,0.1567054587460368,-0.06330278250967371,11.066161183808243,1.4752370916754476,0.23954039269317182,41.06843800322061,0.03244824875534991,0.15325670498084287,8.0,0,0,0,0,1,0,0,0,0,0,0,0
DMRC,2022-03-07,2022-03,0.2734909673839324,-0.7198627663416396,-0.07290253129153125,0.2830902215018909,-0.25673898750821833,-0.11833343609347062,,0.0782254889093057,-0.06766917293233088,6.0,0,0,0,0,0,0,0,0,0,0,1,0
DALN,2022-03-07,2022-03,-0.0533228388271441,-0.22756417784249713,-0.1920366064669026,-0.005367778622025088,-0.10563380281690138,0.05746690437355385,,-2.1671686651347777e-05,-0.2834645669291338,4.0,0,0,1,0,0,0,0,0,0,0,0,0
OKTA,2022-03-07,2022-03,0.09819682815555072,-0.09904565385607428,0.0030328653419919617,0.6337510029191349,-0.42899408284023666,-0.09993482511405605,-9.365853658536585,0.18072215140298864,-0.44676165803108814,3.0,0,0,0,0,0,0,0,0,0,0,1,0
ORN,2022-03-07,2022-03,0.11646624022743425,-0.11058784627036022,0.1507145435573464,-0.04646366115080858,-0.6021699819168174,-0.07055579246624023,-4.197368421052632,0.016591877753487694,0.25909090909090904,8.0,0,0,0,0,0,0,0,1,0,0,0,0
HPQ,2022-03-07,2022-03,0.3461143092105263,1.2004652146331147,0.163949480731526,0.08832928544036811,0.1942397856664433,0.006142064144736842,,-0.15875486381322956,-0.22434099831744247,5.0,0,0,0,0,0,0,0,0,0,0,1,0
