Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
EFX,2021-10-21,0.2574052854294298,0.1169183720956,0.025753173556834,4.0,0,0,0,0,0,0,0,1,0,0,0,0
CSX,2021-10-21,0.1706994941314261,0.1694909521393539,0.0462094168892545,6.0,0,0,0,0,0,0,0,1,0,0,0,0
BOOM,2021-10-21,0.1345906617015181,0.0072078863438677,-0.0032420939941337,2.0,0,0,0,0,1,0,0,0,0,0,0,0
DHR,2021-10-21,0.2056171058692331,0.1030734129647027,0.0319337313511126,7.0,0,0,0,0,0,0,1,0,0,0,0,0
UNP,2021-10-21,0.2140635022450288,0.2055781307720724,0.0441374460599351,7.0,0,0,0,0,0,0,0,1,0,0,0,0
NFLX,2021-10-21,0.2895353627411528,0.2115368516804245,0.0005224651113377,1.0,0,0,1,0,0,0,0,0,0,0,0,0
GPC,2021-10-21,0.4571610264031225,0.1926879213486639,0.0749223957496775,9.0,0,0,1,0,0,0,0,0,0,0,0,0
GTLS,2021-10-21,0.1106378697431081,0.0446847753185781,-0.0047059892745715,9.0,0,0,0,0,0,0,0,1,0,0,0,0
ALLE,2021-10-21,0.3973112587031154,0.2495105503589297,0.0436369405689958,5.0,0,0,0,0,0,0,0,1,0,0,0,0
NURO,2021-10-21,0.2286935307506913,-0.0645032891906045,-0.0289204845225636,0.0,0,0,0,0,0,0,1,0,0,0,0,0
SNAP,2021-10-22,0.287413384445446,-0.136006935812986,-7.972518077244244e-05,0.0,0,0,0,0,0,0,0,0,0,0,1,0
WHR,2021-10-22,0.2310483475532019,0.2509615384615384,0.1777648153415253,1.0,0,0,1,0,0,0,0,0,0,0,0,0
CE,2021-10-22,0.2017612017612017,0.201654729562855,0.0568131782247526,1.0,1,0,0,0,0,0,0,0,0,0,0,0
