Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
FTLF,2021-08-16,0.6050807145387379,0.42762372296669765,0.15673602680905885,9.0,0,0,0,1,0,0,0,0,0,0,0,0
PRTH,2021-08-16,0.300440755425898,0.07132083480721613,-0.042749501044345876,6.0,0,0,0,0,0,0,0,0,0,0,1,0
CVV,2021-08-16,0.045910050883354314,-0.22598063603115748,-0.09390384641140714,7.0,0,0,0,0,0,0,0,1,0,0,0,0
QRHC,2021-08-16,0.20710877244617315,0.046245843944477415,0.05632559695039376,7.0,0,0,0,0,0,0,0,1,0,0,0,0
KULR,2021-08-16,0.03904150553929584,-0.4310762751682381,-0.026984542725749065,6.0,0,0,0,0,0,0,0,0,0,0,1,0
CVSI,2021-08-16,0.3353829557713053,-1.4826974951830443,-0.24031699881657603,0.0,0,0,1,0,0,0,0,0,0,0,0,0
CHCI,2021-08-16,0.08762324728732102,0.07630341584843037,0.0758927454789518,5.0,0,0,0,0,0,0,0,0,0,1,0,0
MBII,2021-08-16,0.28794178794178793,-0.22766548607718612,-0.05922002776085096,4.0,1,0,0,0,0,0,0,0,0,0,0,0
TLS,2021-08-16,0.3162648686470326,-0.20037594401871958,-0.004776635128691291,2.0,0,0,0,0,0,0,0,0,0,0,1,0
OEG,2021-08-16,-0.03951168490563092,-0.35936030962182686,-0.21492470449610857,2.0,0,0,0,0,0,0,0,1,0,0,0,0
CATN,2021-08-16,1.1241606610364325,-0.2899290622248758,0.0013782024511579433,7.0,0,0,0,1,0,0,0,0,0,0,0,0
ATCX,2021-08-16,0.5787013701140998,0.07076876437755229,0.07727454721036818,5.0,0,0,0,0,0,0,0,1,0,0,0,0
AVPT,2021-08-16,0.35967709868679,-0.1268958890583517,0.00929745281897365,4.0,0,0,0,0,0,0,0,0,0,0,1,0
ACRX,2021-08-16,-0.027278667102254166,2.0972494538121116,-0.26838173372962987,1.0,0,0,0,0,0,0,1,0,0,0,0,0
AUVI,2021-08-16,0.08906451337566064,-0.4253255889296424,-0.06373868559732389,0.0,0,0,1,0,0,0,0,0,0,0,0,0
VERY,2021-08-16,0.18671728518208341,0.46666603873106777,-0.05305546218487395,5.0,0,0,0,0,0,1,0,0,0,0,0,0
TTCF,2021-08-16,0.07133061378316415,-0.13737321916441708,-0.03948332902969966,3.0,0,0,0,1,0,0,0,0,0,0,0,0
AXAS,2021-08-16,0.26314819728191974,0.07237583273456281,1.1164896757227227,6.0,0,0,0,0,1,0,0,0,0,0,0,0
ULNV,2021-08-16,0.07450895294153548,0.8066495635284116,-0.003946340359371002,4.0,0,0,0,0,0,0,0,1,0,0,0,0
PLX,2021-08-16,0.30418468818158295,-0.20954880722971625,-0.2578167114102626,7.0,0,0,0,0,0,0,1,0,0,0,0,0
ALIM,2021-08-16,0.8415187916653248,0.10497479484486363,0.026252755244079922,8.0,0,0,0,0,0,0,1,0,0,0,0,0
RAIL,2021-08-16,0.027978689623540203,-0.44805709754163364,-0.7692446873991297,7.0,0,0,0,0,0,0,0,1,0,0,0,0
